,uporabnik,sigma
439,jakub-obracaj,0.0
440,kostek-sobanski,1.152921504606847e+18
441,klemen-kejzar,1.888946593147858e+23
442,kacper-kusion,0.0
443,kacper-stoch,0.0
444,carlo-benettoni,1.152921504606847e+18
445,dominika-bryla,1.152921504606847e+18
446,kajtek-kups,0.0
447,krzysiek-czernik,4.611686018427388e+18
448,steven-van-dijck,0.0
449,mihnea-prundeanu,0.0
450,damir-mujkanovic,4.611686018427388e+18
451,fabian-seppi,0.0
452,damian-laskowski,0.0
453,andrei-nikifaravets,4.611686018427388e+18
454,raphael-kapeller,1.8446744073709552e+19
455,maciej-janusz,0.0
456,jorge-candelas,4.722366482869645e+21
457,daniel-r,0.0
458,tjasa-slemensek,1.8972476279810274e+22
459,melissa-roth,0.0
460,enna-peros,7.205759403792794e+16
461,dasha-veretenina-77221,0.0
462,tobias-hipp,0.0
463,anna-zieba,0.0
464,lukasz-waikiki,0.0
465,anej-kodele,3.703760333549496e+20
466,lukas-hinterberger,0.0
467,florian-simhofer,0.0
468,samuel-weberknecht,0.0
469,botjan-weingerl,8.311365009850576e+22
470,nicole-d,4503599627370496.0
471,tobias-m-44627,2392537302040576.0
472,jo-nesbo,0.0
473,oncle-john,7.378697629483821e+19
474,thomas-rieger,7.205759403792794e+16
475,lenka-krasovska-70844,0.0
476,anna-shlyakhova,2.8823037615171174e+17
477,davide-deflorian,0.0
478,monika-akinom,281474976710656.0
479,john-coinhiller-h1gjw,7.205759403792794e+16
480,andrzej-rawski,2.8823037615171174e+17
481,radek-radomski-eshn7,0.0
482,pawel-cwiakala,0.0
483,adam-gadula-karpierz,0.0
484,daniel-lovaas,7.378697629483821e+19
485,tomek-zacharewicz,4.722366482869645e+21
486,jerzy-laskowski,4.722366482869645e+21
487,przemyslaw-lazar,68719476736.0
488,piotr-cwiakala-rf471,4.0842019120716186e+17
489,tatiana-shurubor-f,1.8014398509481984e+17
490,oksana-ilyasova,0.0
491,dominik-zielinski,0.0
492,monika-prokopiuk,7.378697629483821e+19
493,joanna-dybisiak,4.611686018427388e+18
494,adam-budzinski,0.0
495,mara-celin,0.0
496,marcin-rymarczyk,281474976710656.0
497,jaroslaw-kawski,16777216.0
498,christina-finckh,0.0
499,m-p-46221,1.152921504606847e+18
500,adam-scharnitzky,1.888946593147858e+22
501,stanislava-osiniak,0.0
502,ana-ogrinc-f,2.597301565578305e+21
503,enrico-variati,0.0
504,adrian-kuro,0.0
505,martin-wagner,9.680851289882773e+24
506,loren-mucha,0.0
507,adzis-sz,281474976710656.0
508,wojtek-roj,1.1805916207174113e+21
509,eva-hammelmueller,0.0
510,frederike-foerster-f,0.0
511,linus-raatz,0.0
512,joerg-zeidelhack,0.0
513,chiara-bodocco,0.0
514,marcin-piotrowski,1.152921504606847e+18
515,zsofia-kimmel,1.8446744073709552e+19
516,stefan-bednar,6.044721331793514e+23
517,dominic-lobgesang,1.1805916207174113e+21
518,gregor-selak,4.722366482869645e+21
519,martin-sobotka,0.0
520,francesco-bassetti,0.0
521,marcin-walasek,1.2089258196146292e+24
522,pavao-loncar,47249883136.0
523,bence-gats,4.683743612465316e+17
524,kermit-sharma,0.0
525,clemens-bender,9.592306918328967e+20
526,timon-kunter-ac4ls,3.129358369647156e+18
527,jedrzej-krzeminski,4.722366482869645e+21
528,diego-pionez,4.722366482869645e+21
529,nicola-alig,0.0
530,malin-hohl,0.0
531,jan-novak,0.0
532,ana-senegacnik-kurnik,4.2653801542074353e+18
533,karina-kosiorek,0.0
534,lukas-letz,0.0
535,radek-michalak,0.0
536,grzeogrz-twardecki,0.0
537,malinka-m-wfkbf,4.611686018427388e+18
538,stephan-vogt,0.0
539,marcin-grabarczyk,0.0
540,chrizzl-manizzl,0.0
541,kathrin-ziegler,0.0
542,lando-peters-mqmoo,0.0
543,davide-villa,0.0
544,marko-tomazin,119627724095488.0
545,inga-patarcic,0.0
546,basia-ciszynska,0.0
547,gaper-pintar,2.833419889721787e+22
548,tjasa-zagozen,2286984185774080.0
549,michal-kajca,7.205759403792794e+16
550,patrick-gatterer,0.0
551,patryk-torzecki,0.0
552,lukas-gogl,281474976710656.0
553,sigi-putz,0.0
554,stepan-volf,0.0
555,ondrej-dvorak,0.0
556,user-deactivated-67659,0.0
557,aleksander-dobkowski,4.611686018427388e+18
558,marcin-michalek,1.9676527011956856e+21
559,przemek-mika,0.0
560,luc-comuzzi,209715200.0
561,gareth-parry-xbyan,0.0
562,daniel-bruenion-41287,7.205759403792794e+16
563,ursa-florijancic,9.44473296573929e+21
564,grzegorz-jamka,0.0
565,bartlomiej-twardowski,4.722366482869645e+21
566,dmitry-tarasenkov,0.0
567,pavel-karas,0.0
568,simon-weisser,0.0
569,moritz-welt,1.1805916207174113e+22
570,ju-ju,0.0
571,tobias-stadler,0.0
572,maciej-ostrowski,1.152921504606847e+18
573,alexander-mayer-13663,0.0
574,s-braveheart,4.611686018427388e+18
575,james-lucas-4646,1.1805916207174113e+21
576,stefanie-ess,0.0
577,luca-lindig,0.0
578,piotr-abrahamczyk,4.611686018427388e+18
579,hannes-pfeifhofer,0.0
580,mark-o,0.0
581,tia-franko,0.0
582,janine-mathies,0.0
583,mateusz-zajac,0.0
584,laura-pumpute,2.8823037615171174e+18
585,ondrej-bina,0.0
586,zbik-z,0.0
587,m-b-13308,0.0
588,thibault-lair,0.0
589,goran-matika,2.070656029473152e+21
590,r-m,0.0
591,moritz-uhlmann-77774,0.0
592,magda-sokol,4503599627370496.0
593,alexander-bartels,0.0
594,peter-schwamberger,7.378697629483821e+19
595,ania-grabinska,7.378697629483821e+19
596,maciek-grabinski,1.152921504606847e+18
597,erwin-fedasz,0.0
598,chris-reinhold,1.152921504606847e+18
599,felix-getzlaff,1.8446744073709552e+19
600,luka-mestrovic,4.722366482869645e+21
601,taras-mandryk,0.0
602,aleksandar-sajatovic,0.0
603,nenad-matic,0.0
604,milica-ognjanovic,0.0
605,jakob-kirchhoff,0.0
606,sergio-castilla,0.0
607,fabian-oehlinger,1.844674407370955e+20
608,ziemowit-rachwal,0.0
609,pawel-czyz,0.0
610,niclas-hoellrigl,0.0
611,ponder-stibbons,0.0
612,mateusz-lukasik,0.0
613,brittany-goris,4.611686018427388e+18
614,manca-maurizio,0.0
615,klara-babicz,0.0
616,patryk-bialokozowicz,1.8446744073709552e+19
617,mikolaj-roger-stepien,0.0
618,dorian-decriteau-rc82o,0.0
619,paul-lewandowski,0.0
620,jure-golob,0.0
621,lars-abramowski,9.799832789158199e+17
622,konstantin-gartenlehner,1.152921504606847e+18
623,luka-zazvonil,7.555786372591432e+22
624,jacek-matuszek,7.555786372591432e+22
625,markus-ritter,281474976710656.0
626,thomas-hahn,68719476736.0
627,nikita-shvinagir,0.0
628,mania-mania-a,0.0
629,sebastian-harnas-dudek,0.0
630,mateusz-tyczynski,0.0
631,albert-parys,0.0
632,perica-levatic-xbwsw,1.152921504606847e+18
633,zaneta-adamczyk,0.0
634,joanna-zalubska,0.0
635,ida-kups,0.0
636,rados3aw-wojtowicz,0.0
637,m-g-13629,0.0
638,lukasz-harazin,4503599627370496.0
639,d-1,0.0
640,kajtek-koperwas,0.0
641,ola-gdowska,0.0
642,janek-nowaczek,281474976710656.0
643,pio-koval,4.722366482869645e+21
644,lukas-goetz-58346,0.0
645,rebecca-finch-f,1.1805916207174113e+21
646,jarek-kluf,0.0
647,katarzyna-kryskiewicz,0.0
648,jane-doe,0.0
649,gaber-avsec,0.0
650,claudia-vanessa-moser,0.0
651,chris-krah,0.0
652,ole-steinbeisser-nxzlk,0.0
653,mike-owen,4.611686018427388e+18
654,jan-vopat,0.0
655,marceli-grabowicz,0.0
656,adam-mach-6223,1.888946593147858e+22
657,karol-porwol,0.0
658,lukas-althuber,2.8823037615171174e+17
659,fabrizio-passone,4.611686018427388e+18
660,ania-matzullok,1.152921504606847e+18
661,kacper-cieslawski,0.0
662,ziga-debevec,1.5372286728091292e+18
663,jurica-levatic-del04,3.781582535110458e+21
664,mikolaj-bielanski,4.611686018427388e+18
665,timo-kienzle,4.722366482869645e+21
666,jan-d,0.0
667,mateusz-daniec,1.152921504606847e+19
668,simon-mayer,4503599627370496.0
669,balazs-erdelyi,4.611686018427388e+18
670,amanda-swat-70504,0.0
671,mitja-predikaka,3.715701306275781e+21
672,gocha-bozek,0.0
673,patryk-r,1.1805916207174113e+21
674,roberto-costantini,0.0
675,robert-kapa,0.0
676,cathy-wagner,0.0
677,julia-bolesch,0.0
678,tomas-plevko,0.0
679,anej-batagelj,9121600003637248.0
680,berni-st,0.0
681,petra-poloncic,4.722366482869645e+21
682,sirhc-v,2.9514790517935283e+20
683,user-deactivated-57351,0.0
684,bor-zupan,898207291515624.8
685,miha-jarm,3.9063735719381424e+21
686,christiana-seethaler,0.0
687,marcin-krolik,0.0
688,lino-c,68719476736.0
689,lan-zupancic,8.106695848479747e+17
690,lukasz-piekarz-turkowiak,0.0
691,urka-mihoci,1.567973246265312e+20
692,igor-salkovic,62817566720.03125
693,andrea-daddazio,4.722366482869645e+21
694,johannes-spreitzer,7.378697629483821e+19
695,giorgio-bendazzoli-37913,0.0
696,camilla-bendazzoli,0.0
697,marcin-em,0.0
698,ivana-balic,114621939712.0
699,amelia-orlikova,0.0
700,nina-faganel-f,2.2806924523855695e+20
701,davide-negroponte,0.0
702,grzegorz-grabowski,0.0
703,andrzej-mirek,0.0
704,karlo-cubric,1.8446744073709552e+19
705,stefan-wraber,6.746237832670921e+20
706,daniel-lenz,7.378697629483821e+19
707,daniel-lenz-ib9wz,0.0
708,radek-ostrowski,0.0
709,hans-koelz,7.378697629483821e+19
710,domen-skofic,1.2089258196146292e+24
711,alexander-weissmann-59197,2.9514790517935283e+20
712,leon-se-8d5m4,0.0
713,milosz-jodlowski,1.8446744073709552e+19
714,marco-manieri,0.0
715,carolyn-aichhorn,0.0
716,risa-ota-f,0.0
717,tamas-ban,2.8518666337954966e+21
718,bajusz-balazs,4.722366482869645e+21
719,konrad-schlenkrich,4.722366482869645e+21
720,nejc-erklavec,0.0
721,liam-mayrhuber,3.828059683264922e+16
722,maciek-kronenberg,0.0
723,tomasz-wojciechowski,0.0
724,mikolaj-blaz,0.0
725,martin-dejori,0.0
726,fonso-noriega,0.0
727,romain-pigeat,0.0
728,piotr-kruczek,0.0
729,rafal-walus,0.0
730,jernej-vidmar,2.8942690421875674e+17
731,tomek-japa,1.152921504606847e+18
732,kuba-wybierlaski,0.0
733,maria-amzaroiu-f,1.152921504606847e+18
734,daniel-kopp,1.8446744073709552e+19
735,viorel-amzaroiu,1.888946593147858e+22
736,emanuel-pali,0.0
737,rudi-schraml,0.0
738,jaka-urh,68719476736.0
739,lucija-veber,0.0
740,julek-wojciechowski,0.0
741,christoph-garber,0.0
742,lukasz-kilon,0.0
743,thomas-rappersberger,1.152921504606847e+18
744,manuel-w,0.0
745,anka-tw,4.611686018427388e+18
746,jakub-kovacik,0.0
747,jacek-gaweda,0.0
748,jura-grecnar-6pzs2,0.0
749,wojciech-jurek,0.0
750,felix-mehne,0.0
751,gregor-vezonik,3.022314549036573e+23
752,marta-juszczyk,0.0
753,laurentiu-popa,0.0
754,stanislaw-taranowski,0.0
755,george-stancescu,0.0
756,sergei-ipatov,7.205759403792794e+17
757,alex-lukovkin,1.152921504606847e+18
758,jacek-slowik,0.0
759,ivana-staraj,1.3835058055282164e+19
760,paulina-slowik-h5ooo,281474976710656.0
